date_time,trade_category,trade_id,currency_pair,bid_ask,executed_amount,executed_price,entry_price,profit_loss
2024-01-02 16:36:21,entry,9,USDJPY,sell,10000.0,141.436,,0.0
2024-01-02 16:37:29,exit,10,USDJPY,buy,10000.0,141.412,141.436,240.0
2024-01-02 16:46:47,entry,11,USDJPY,sell,10000.0,141.482,,0.0
2024-01-02 17:04:42,exit,12,USDJPY,buy,10000.0,141.433,141.482,490.0
2024-01-02 17:05:46,entry,13,USDJPY,sell,10000.0,141.423,,0.0
2024-01-03 00:00:00,swap,13,USDJPY,sell,,,,-852.0
2024-01-04 00:00:00,swap,13,USDJPY,sell,,,,-218.0
2024-01-05 12:57:20,exit,14,USDJPY,buy,10000.0,144.909,141.423,-34860.0
2024-01-17 00:00:00,swap,15,USDJPY,sell,,,,-347.0
2024-01-17 00:00:00,swap,16,USDJPY,sell,,,,-347.0
2024-01-17 19:20:27,entry,15,USDJPY,sell,5000.0,147.617,,0.0
2024-01-17 19:27:00,entry,16,USDJPY,sell,5000.0,147.643,,0.0
2024-01-18 12:58:33,exit,18,USDJPY,buy,5000.0,148.02,147.643,-1885.0
2024-01-18 12:58:33,exit,17,USDJPY,buy,5000.0,148.02,147.617,-2015.0
2024-02-19 15:04:20,entry,19,USDJPY,buy,2000.0,150.007,,0.0
2024-02-19 15:06:16,exit,20,USDJPY,sell,2000.0,150.02,150.007,26.0
2024-02-19 15:06:42,entry,21,USDJPY,sell,5000.0,150.026,,0.0
2024-02-19 15:08:48,exit,22,USDJPY,buy,5000.0,150.027,150.026,-5.0
2024-02-19 15:11:21,entry,23,USDJPY,buy,5000.0,150.02,,0.0
2024-02-19 15:13:19,exit,24,USDJPY,sell,5000.0,150.005,150.02,-75.0
2024-02-19 15:14:08,entry,25,USDJPY,buy,5000.0,150.007,,0.0
2024-02-19 15:15:58,exit,26,USDJPY,sell,5000.0,150.017,150.007,50.0
2024-02-19 15:18:26,entry,27,USDJPY,buy,5000.0,150.027,,0.0
2024-02-19 15:19:51,exit,28,USDJPY,sell,5000.0,150.03,150.027,15.0
2024-02-19 15:23:36,entry,29,USDJPY,buy,5000.0,150.027,,0.0
2024-02-19 15:45:04,exit,30,USDJPY,sell,5000.0,149.986,150.027,-205.0
2024-02-19 15:45:17,entry,31,USDJPY,buy,5000.0,149.994,,0.0
2024-02-19 15:45:47,exit,32,USDJPY,sell,5000.0,149.983,149.994,-55.0
2024-02-19 15:46:27,entry,33,USDJPY,sell,5000.0,149.985,,0.0
2024-02-19 15:47:30,exit,34,USDJPY,buy,5000.0,149.985,149.985,0.0
2024-02-19 15:47:44,entry,35,USDJPY,buy,8000.0,149.985,,0.0
2024-02-19 15:59:42,exit,36,USDJPY,sell,8000.0,149.978,149.985,-56.0
2024-02-19 16:03:40,entry,37,USDJPY,buy,8000.0,149.997,,0.0
2024-02-19 17:03:05,exit,38,USDJPY,sell,8000.0,149.988,149.997,-72.0
2024-02-19 17:04:30,entry,39,USDJPY,buy,8000.0,149.985,,0.0
2024-02-19 17:18:06,exit,40,USDJPY,sell,8000.0,149.944,149.985,-328.0
2024-02-19 17:30:17,entry,41,USDJPY,buy,8000.0,149.934,,0.0
2024-02-19 17:31:31,exit,42,USDJPY,sell,8000.0,149.957,149.934,184.0
2024-02-19 17:32:08,entry,43,USDJPY,buy,8000.0,149.958,,0.0
2024-02-19 17:42:22,exit,44,USDJPY,sell,8000.0,149.959,149.958,8.0
2024-02-19 17:42:25,entry,45,USDJPY,sell,8000.0,149.959,,0.0
2024-02-19 17:43:06,exit,46,USDJPY,buy,8000.0,149.962,149.959,-24.0
2024-02-19 17:43:07,entry,47,USDJPY,buy,8000.0,149.961,,0.0
2024-02-19 18:06:31,exit,48,USDJPY,sell,8000.0,149.932,149.961,-232.0
2024-02-19 18:10:29,entry,49,USDJPY,sell,8000.0,149.938,,0.0
2024-02-19 18:11:14,exit,50,USDJPY,buy,8000.0,149.925,149.938,104.0
2024-02-19 18:11:17,entry,51,USDJPY,buy,8000.0,149.927,,0.0
2024-02-19 18:29:38,exit,52,USDJPY,sell,8000.0,149.923,149.927,-32.0
2024-02-19 18:30:11,entry,53,USDJPY,sell,8000.0,149.923,,0.0
2024-02-19 18:36:36,exit,54,USDJPY,buy,8000.0,149.915,149.923,64.0
2024-02-19 18:37:45,entry,55,USDJPY,buy,8000.0,149.91,,0.0
2024-02-19 18:55:02,exit,56,USDJPY,sell,8000.0,149.933,149.91,184.0
2024-02-19 18:56:13,entry,57,USDJPY,buy,8000.0,149.943,,0.0
2024-02-19 19:04:06,exit,58,USDJPY,sell,8000.0,149.949,149.943,48.0
2024-02-19 19:04:43,entry,59,USDJPY,buy,8000.0,149.948,,0.0
2024-02-19 19:21:01,exit,60,USDJPY,sell,8000.0,149.954,149.948,48.0
2024-02-19 19:21:17,entry,61,USDJPY,buy,8000.0,149.957,,0.0
2024-02-19 19:26:13,exit,62,USDJPY,sell,8000.0,149.96,149.957,24.0
2024-02-19 19:26:19,entry,63,USDJPY,sell,8000.0,149.961,,0.0
2024-02-19 19:26:54,exit,64,USDJPY,buy,8000.0,149.953,149.961,64.0
2024-02-19 19:27:29,entry,65,USDJPY,buy,8000.0,149.954,,0.0
2024-02-19 19:40:46,exit,66,USDJPY,sell,8000.0,149.973,149.954,152.0
2024-02-19 19:40:56,entry,67,USDJPY,sell,8000.0,149.972,,0.0
2024-02-19 19:42:30,exit,68,USDJPY,buy,8000.0,149.984,149.972,-96.0
2024-02-19 19:42:44,entry,69,USDJPY,buy,8000.0,149.976,,0.0
2024-02-19 19:42:59,exit,70,USDJPY,sell,8000.0,149.972,149.976,-32.0
2024-02-19 19:43:00,entry,71,USDJPY,sell,8000.0,149.972,,0.0
2024-02-19 19:44:09,exit,72,USDJPY,buy,8000.0,149.984,149.972,-96.0
